environment,corpus_name,backend,seed,method,budget,n_queries,selected_probe_pairs,ndcg,recall_at_10,delta_vs_zero_budget,delta_vs_original_frozen_router,delta_recall_vs_zero_budget,delta_recall_vs_original_frozen_router,changed_action_fraction_vs_zero_budget,changed_action_fraction_vs_original_frozen_router,posterior_world_0,posterior_world_1,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens
nfcorpus_bm25,nfcorpus,bm25,11,information_gain,32,65,32,0.2455191904189422,0.25775147928994085,0.000413390920050688,0.000413390920050688,0.0,0.0,0.06153846153846154,0.06153846153846154,0.03790497380950652,0.9620950261904935,97.41325913557375,75.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,decision_value,0,65,0,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,decision_value,4,65,4,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.27624394561821275,0.7237560543817874,97.41325913557375,8.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,decision_value,8,65,8,0.2455191904189422,0.25775147928994085,0.000413390920050688,0.000413390920050688,0.0,0.0,0.06153846153846154,0.06153846153846154,0.04758556476414809,0.9524144352358518,97.41325913557375,16.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,decision_value,16,65,16,0.24756796301988784,0.25775147928994085,0.0024621635209963054,0.0024621635209963054,0.0,0.0,0.9384615384615385,0.9384615384615385,0.006883792295286399,0.9931162077047136,97.41325913557375,35.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,11,decision_value,32,65,32,0.2455191904189422,0.25775147928994085,0.000413390920050688,0.000413390920050688,0.0,0.0,0.06153846153846154,0.06153846153846154,0.037904973809506456,0.9620950261904935,97.41325913557375,75.0,16.0,48.0,24215.0,6074.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,23,random,0,65,0,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,23,random,4,65,4,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.5583600641681288,0.4416399358318712,100.15326391182316,8.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,23,random,8,65,8,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.33340373246504335,0.6665962675349567,100.15326391182316,17.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,23,random,16,65,16,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.29790856145129013,0.7020914385487099,100.15326391182316,34.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_bm25,nfcorpus,bm25,23,random,32,65,32,0.24510579949889155,0.25775147928994085,0.0,0.0,0.0,0.0,0.0,0.0,0.7599938192410559,0.240006180758944,100.15326391182316,71.0,16.0,48.0,23007.0,5887.0,1.0,0.0,0.0,0.0,0.0
