environment,seed,budget,method,ndcg,delta_vs_source_router,recall_at_10,delta_recall_at_10_vs_source_router,changed_action_fraction,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens,corpus_name,backend,selected_probe_pairs
scifact_bm25,11,8,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,16.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,8
scifact_bm25,11,16,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,32.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,16
scifact_bm25,11,32,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,64.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,32
scifact_bm25,11,0,learned_value,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,11,4,learned_value,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,8.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,4
scifact_bm25,11,8,learned_value,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,16.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,8
scifact_bm25,11,16,learned_value,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,35.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,16
scifact_bm25,11,32,learned_value,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,76.11252064608561,73.0,16.0,48.0,23491.0,6060.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,32
scifact_bm25,23,0,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,4,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,8,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,16,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,32,source_router,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,0,random,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,4,random,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,8.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,4
scifact_bm25,23,8,random,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,17.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,8
scifact_bm25,23,16,random,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,34.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,16
scifact_bm25,23,32,random,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,71.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,32
scifact_bm25,23,0,fixed,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,4,fixed,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,9.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,4
scifact_bm25,23,8,fixed,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,18.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,8
scifact_bm25,23,16,fixed,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,36.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,16
scifact_bm25,23,32,fixed,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,72.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,32
scifact_bm25,23,0,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,0
scifact_bm25,23,4,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,8.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,4
scifact_bm25,23,8,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,16.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,8
scifact_bm25,23,16,information_gain,0.6061398767848605,0.0,0.7344444444444445,0.0,0.0,77.63634411997919,32.0,16.0,48.0,22440.0,5872.0,1.0,0.0,0.0,0.0,0.0,scifact,bm25,16
